Analyte Area	y	H3N2	H3N2F1	H4N2	H3N3	H4N2F1	H5N2	H3N3F1	H4N3	H3N4	H6N2	H4N3F1	H5N3	H3N4F1	H4N4	H3N5	H7N2	H4N3S1	H5N3F1	H6N3	H3N4S1	H4N4F1	H5N4	H3N5F1	H4N5	H8N2	H5N3S1	H5N4F1	H4N5F1	H5N5	H5N4S1F1	H9N2	H4N5S1F1	H5N4S1	H4N5F2	H5N5F1	H6N5	H4N6F1	H10N2	H5N6	H5N4S1F1	H5N5S1	H6N5F1	H3N6S1F1	H5N6F1	H5N5S1F1	H6N5S1	H5N6F2	H6N6F1	H7N6	H6N5S1F1	H7N6F1	H6N7F1	H7N6F2	H7N7F1	H7N6S1F1	H6N5S3	H8N7F1	H9N8F1	H10N9F1
k14_dhb_rep1_0_P12_1.xy	1	12825.04098	16992.73302	15652.05941	19248.05746	10905.57952	52772.41115	31395.17966	47348.4947	27132.72975	55944.48874	63870.95516	23242.80377	45551.06876	85179.10826	24454.01445	53735.65097	11935.86095	19566.96818	33165.61029	13978.79945	120004.2582	356398.4562	40489.95393	39168.65372	72148.15051	15919.35819	392381.5617	71082.95575	66419.50797	13736.48253	58436.29712	16725.14527	17193.5566	17824.78713	126733.1934	102477.8824	20629.38372	21452.89896	20590.41555	13736.48253	25475.74193	146671.832	23851.54214	35832.37306	14764.69352	16909.19477	18507.06837	56407.52237	39091.77709	13466.19367	62671.82051	22091.25574	12542.67157	27090.30036	10753.1743	38849.60835	19198.90118	12410.36347	10104.68798
k14_dhb_rep2_0_E21_1.xy	1	17307.08239	26217.99316	23770.54166	32115.82519	15865.14147	98667.47591	65866.95948	91376.16669	49720.38073	119662.1772	147749.3444	47991.25768	98717.13777	185208.5678	50694.71352	123662.2916	22746.61302	48709.2861	70869.74696	25546.01691	289050.0964	862920.0414	164060.0435	93914.75948	170504.9477	32591.04882	986926.744	172403.5764	177426.864	31485.20571	143683.3505	34857.81054	37837.99409	39787.81813	318339.4357	271936.5704	65550.55428	57963.20217	58392.66363	31485.20571	58169.34069	392904.0576	50037.19699	85907.57464	31046.31458	34486.60418	42329.51624	177080.1036	124062.3751	26474.66799	218871.6011	59997.52991	27199.2967	111646.6077	20091.53052	65787.26064	107022.8252	69799.07274	41597.65299
k14_dhb_rep3_0_E22_1.xy	1	26119.58341	37096.96947	33979.39254	44179.99382	24764.36162	131164.3361	86995.6451	119911.9467	67244.11682	158457.9482	190908.4605	66179.50793	129161.5688	238897.0644	69683.84718	163368.7592	34304.85004	66754.72369	96089.93579	38136.72629	368759.1675	1095753.612	205330.1901	124196.5443	228956.6418	48608.15605	1263518.519	225236.6449	229257.6291	47043.77106	189327.0728	52846.06584	54948.12388	57694.22854	411097.5281	350516.6713	87441.14076	79483.4441	79438.19576	47043.77106	82464.49422	508359.7149	74108.92426	117743.0487	47213.51042	51420.51729	61085.74378	232380.521	163621.527	40798.15819	285176.7537	82463.29674	40800.07584	147518.787	31329.61265	88360.45038	140662.6013	93506.60096	57201.02611
k15_dhb_rep1_0_O21_1.xy	1	6499.706272	11467.46037	8137.662417	10251.78421	8674.254593	46688.47806	27659.70665	21223.66389	16625.22132	37888.55807	48843.43045	16265.65921	57172.68385	35675.80082	11139.76931	37837.8646	9940.400406	15914.84267	21539.22653	11732.62425	140077.7322	236233.4536	25513.04052	19962.24279	47912.7783	15365.08981	698585.2784	78519.21713	24545.72256	13060.21923	37441.25906	14685.48333	22610.10166	16635.76652	79305.94857	49150.71597	13667.68501	13537.09369	12392.16468	13060.21923	24556.05859	183530.9044	17717.52551	22549.5241	15763.03411	18658.18219	14560.91518	27470.51953	22163.34637	13333.21064	69560.10849	13805.23132	14826.47142	16036.67213	12858.99953	21684.54908	33100.84985	26493.70098	19167.81198
k15_dhb_rep2_0_O22_1.xy	1	6781.573183	12066.09745	8863.852692	11276.1631	8797.603772	55100.42571	32300.50647	26356.7804	21049.38847	57271.92642	67326.8045	22469.11188	84907.05182	49980.17094	13924.18143	60349.16241	12874.21109	21495.03315	32145.25409	15621.46801	225026.7814	361661.5256	39297.0318	27843.84636	91767.06085	19625.41217	1071377.641	127633.7259	35578.43822	17395.69599	63511.94338	18251.84152	32831.99331	22662.79654	125162.3981	79988.59345	18161.21051	18423.1572	16251.8218	17395.69599	34143.85855	329393.3166	30684.10551	33427.25631	20537.89109	26019.8168	18753.9543	43033.02758	33841.87698	17896.4148	127407.2653	19575.80586	21714.7339	24218.42136	18601.96906	34022.14964	53595.27899	34736.56364	22660.47233
k15_dhb_rep3_0_E7_1.xy	1	8568.027927	13860.47656	10690.48709	11870.80217	9793.663226	46355.9926	37438.14355	23248.03406	18413.09231	39651.65848	60110.69929	18845.74556	63314.98607	38050.30292	14012.2069	38315.12629	12638.54887	23447.76072	24516.16251	14968.46639	152524.7112	232772.3194	66431.64417	28766.6373	50195.85634	18592.54374	777252.9977	89946.61332	57803.99067	17288.06213	42762.51121	20396.87889	27752.68795	23135.50457	82140.3621	51888.86382	23469.16327	21503.53453	20485.90006	17288.06213	30167.63496	193099.7066	27508.81189	29731.08449	22145.02775	22952.2173	19592.64104	33205.473	26470.65876	17785.40644	80307.82574	19521.5593	19654.13116	21546.6554	17247.93934	30408.62466	45246.96699	38075.205	27605.76165
k15_dhb_rep4_0_E8_1.xy	1	6034.265916	9371.773638	8106.173347	8244.110566	8480.993829	31412.38082	21191.7884	16049.53028	12759.34083	31407.08418	37433.30171	14141.08836	41633.52618	24549.55742	10310.3297	31411.47448	10845.14392	15700.26423	18124.13069	12439.06242	95560.32411	136822.9743	33033.38306	17932.37817	44539.88931	14962.09345	506537.4431	58310.41208	26543.44163	12557.83786	35080.3023	14572.58635	19175.38622	15952.77215	53661.77566	35735.29927	15459.07581	14286.0704	12938.7233	12557.83786	22911.33078	135788.2568	25826.2591	21079.15427	14650.52452	16584.9985	13794.68393	22543.10314	18592.51867	12805.24533	54976.96947	13368.987	14331.43542	14374.5302	12933.0577	18171.01147	25663.72651	19693.57302	14083.49146
k16_dhb_rep1_0_L17_1.xy	1	2799.617689	3447.674368	3047.677998	3111.744901	3968.469877	6191.904957	4986.960348	4725.193496	4292.096074	7093.876719	6682.983569	4580.422845	8660.099886	5515.889102	4592.674892	6468.743592	4316.893103	4974.249792	5443.647514	4689.043492	15244.60459	22781.408	7098.36727	5424.060917	7797.813317	4860.462244	117335.8358	12772.16031	6718.827304	5539.625531	7807.115855	6629.295572	6460.954784	6842.274376	19205.69552	10542.21196	5785.438962	5382.815537	5275.172675	5539.625531	8403.768055	38881.84681	8417.198697	8131.107388	6456.41653	7002.980137	6781.365737	10070.37806	7723.138118	6201.171384	18377.88064	6546.514352	6571.090809	8314.678023	6026.409505	8917.050822	11658.97354	10425.52275	8853.377284
k16_dhb_rep2_0_L18_1.xy	1	2796.823491	3460.085008	3081.327565	3154.168618	3919.79469	6300.327575	5139.476639	4739.756144	4407.606884	7459.403927	6687.485233	4907.502457	9028.67562	5548.055672	4510.940633	6657.495765	4174.896799	4944.361038	5383.568237	4703.27513	15937.86788	23296.99801	7166.163202	5405.397857	7977.675708	4796.390263	121086.7284	12833.59026	6456.379345	5066.508976	7796.455809	6244.624327	6259.284932	6548.268417	19084.36198	10127.69625	5687.389441	5118.478371	4962.263211	5066.508976	8263.221453	36194.32331	7966.021609	7841.540328	5990.60587	6608.039834	6390.462691	9525.839695	7343.075224	5759.134752	17071.01914	6216.428874	5960.833134	7845.390314	5643.448825	8260.005675	11075.27271	10055.3648	8369.906954
k16_dhb_rep3_0_B2_1.xy	1	1653.899663	2974.266739	2266.89528	2282.920658	2526.264061	9106.219506	7238.801756	5246.266681	4066.822885	14459.82249	16596.01342	6039.439365	19836.58768	8309.731467	5059.26001	12422.66794	3894.441695	7089.429538	8053.059243	6083.368174	47254.61287	72399.63807	18386.76563	7774.826917	17706.8739	5653.891781	429735.1236	32734.42971	15064.30788	5774.466934	16092.17899	7777.080198	9652.210089	12239.42005	52996.866	24736.41884	9674.496481	7502.153409	6716.961831	5774.466934	15731.17283	123807.5119	14899.24957	13341.7346	7281.708212	9698.829615	8892.940412	20496.18624	12345.72193	6346.824995	50797.8711	8784.356287	8259.001937	13883.95478	5820.034606	16348.21225	26363.70383	18429.78712	12456.51276
k17_dhb_rep1_0_P23_1.xy	1	14431.01858	16462.72156	15336.9663	15878.611	16854.85255	43320.83203	36298.73862	44495.09589	26228.75419	61843.35605	74618.99948	27829.2338	59713.09342	83122.62372	22824.05362	61796.63057	16920.37547	25777.5868	40561.85483	20540.17409	144565.2862	496932.2319	42455.70118	37639.61917	80290.28659	20732.62861	664637.5812	73078.77141	56348.55175	19903.5503	51334.41348	24539.17825	25026.66472	23009.27381	101300.9048	132098.5843	23850.30808	23693.08422	22017.88417	19903.5503	33969.14184	170971.4544	31360.64906	31154.62498	22054.09202	23430.51175	22423.92047	36490.95806	40920.5056	18971.73178	52311.8806	19292.98437	16320.88121	19152.16963	14213.10754	31002.08972	18308.44646	13713.10964	11836.14237
k17_dhb_rep2_0_P24_1.xy	1	4806.000259	5371.406729	5214.835818	5464.636072	6290.498907	11344.69699	10279.04868	12304.38902	8389.262494	17252.75135	19254.84342	9024.330586	15618.32709	19353.61167	7980.936828	18000.93395	7572.647837	8519.414369	11593.38748	7851.238038	33708.30512	107712.4457	13347.48672	12143.36165	24197.56608	9277.503387	157451.5967	20597.17157	17376.22799	8172.761753	16871.45972	9991.936772	9567.341126	8857.74366	27388.55334	38306.48288	9270.021574	9422.497567	8808.543571	8172.761753	12725.25965	50763.44475	14996.74297	12087.51449	8926.541838	9754.236593	9003.362125	13516.79801	14526.3339	7960.92414	18990.10445	8041.149449	7231.919346	8040.330372	6495.060059	11141.87237	7890.842366	7055.547325	6355.292544
k17_dhb_rep3_0_F9_1.xy	1	12013.76332	17528.49523	13924.88206	18077.52957	12257.57566	52020.95328	38269.02333	48470.00646	24520.92344	72148.48903	83438.54995	28463.60784	63165.642	92271.80995	22772.30204	77504.65847	16690.65362	29207.32935	46988.27419	19371.61894	176705.3242	659729.3953	81883.54919	47187.3485	116221.6305	23724.98268	963364.1747	97498.07085	88373.78823	28477.36001	74506.22085	29701.86488	31132.58391	29084.22824	145543.1568	220284.0234	38194.16636	33694.31738	30305.81707	28477.36001	45777.30246	289946.8031	45996.33583	41793.28491	26756.49595	30347.27627	27216.8481	61659.35665	76859.7514	22843.92042	113701.4298	24648.10539	21298.55412	32381.04709	15724.55365	31010.0065	46398.80284	27162.85545	17669.3722
k17_dhb_rep4_0_F10_1.xy	1	8015.468617	9756.35512	8632.617481	10260.72627	9323.217446	21966.79982	18904.61849	20917.89586	13197.18846	28921.25197	35996.79138	15190.4469	28691.68549	36749.50854	13995.00482	32139.48618	12114.54826	16694.95509	22965.7379	13452.46564	71869.2932	230375.4795	38790.41616	23619.05493	52602.1877	16659.92573	371582.0175	44515.35049	39370.62163	17860.4187	34084.97782	19915.59496	18201.54006	18110.99702	61092.19987	82597.31953	21073.71974	19467.55787	18122.3681	17860.4187	26099.45035	115814.9567	30750.99862	24892.39169	17564.05952	19260.75938	18503.38941	31139.13686	35052.35093	15745.95537	49944.29177	15884.05449	14041.81154	18541.73376	11496.11315	17511.33155	23419.98971	16473.02958	12216.40039
